#			
# data file: europe-stops			
# 			
stop_code	stop_name	lat	lon
BFD	Bordeaux (Floirac Dravemont)	44.846139	-0.510071
SMG	Santa Maria degli Angeli (Palina Baltour)	43.056355	12.577568
PDA	Porto d'Ascoli	42.919978	13.891154
PGX	Périgueux (Créavallée Nord)	45.143126	0.698508
MSSC	Massa (CC Carrefour)	44.021453	10.110448
BGO	Brive-la-Gaillarde (Centre Commercial Ouest)	45.145925	1.482554
MTM	Montecatini	43.879821	10.781404
VLC	Valence France	44.926909	4.892386
FIM	Florence (Piazzale Montelungo)	43.780784	11.246646
PO	Prato (Piazzale Del Museo)	43.859506	11.107381
MCT	Piediripa (Macerata)	43.275844	13.486051
MRH	Civitanova Marche (Supermercato Iper)	43.294422	13.703864
GCU	Grenoble (Condillac-Universités)	45.189309	5.774476
AON	Ancona Nord – Chiaravalle	43.597797	13.356375
ANL	Angoulême	45.653846	0.167294
TOL	Turin (Lingotto)	45.025254	7.656457
TO	Turin (Vittorio Emanuele)	45.069623	7.659043
RN	Rimini (Centro Studi)	44.049722	12.582369
CSN	Cesena Accoglienza	44.167916	12.280738
NRO	Sarno	40.811746	14.599238
SRM	Sanremo	43.814235	7.771807
LES	Limoges	45.835897	1.268347
BOL	Bologna	44.50399	11.346852
CHA	Chambéry	45.56998	5.91742
PR	Parma	44.811147	10.327717
RA	Ravenna	44.421943	12.22566
AOT	Aosta	45.735249	7.324412
FER	Ferrara	44.842838	11.604776
CMX	Chamonix	45.917359	6.867022
WPE	Ploce	43.048771	17.434234
POI	Poitiers	46.584507	0.335627
GEN	Geneva	46.208522	6.146928
BG	Bergamo	45.692019	9.675369
QPN	Poličnik	44.171362	15.375192
PAD	Padua	45.418751	11.873498
QGO	Gospić	44.548309	15.368141
BOU	Bourges	47.082474	2.386704
ZKC	Konjic AS	43.654528	17.957889
SNJ	Senj	44.989609	14.90018
SJJ	Sarajevo	43.858673	18.39665
DIJ	Dijon	47.323534	5.0279
QBS	Bosiljevo	45.410931	15.289252
AUX	Auxerre	47.796624	3.584503
QKL	Karlovac	45.488384	15.550233
LAL	Laval	48.076139	-0.759644
ZAG	Zagreb	45.803417	15.992278
BST	Brest	48.387713	-4.482208
CAE	Caen	49.176488	-0.346787
HON	Honfleur	49.418804	0.238384
MTZ	Metz	49.110164	6.183766
BRN	Braunau	48.257216	13.039016
SIO	Siófok	46.907891	18.05542
BCK	Berck	50.408136	1.568479
HUN	Hunedoara	45.758038	22.909119
N1X	Nitra	48.303666	18.080734
SBZ	Sibiu	45.795483	24.087489
HDN	Huedin	46.863765	23.029964
MUK	Mukachevo	48.439267	22.731323
HL	Lübeck	53.866181	10.669183
GAS	Glasgow	55.865274	-4.250601
UMN	Uman	48.761159	30.219564
